Date,Open,High,Low,Close,Adj Close,Volume
03-01-2000,117.273438,122.480469,117.273438,122.480469,-2.162692,3804416
04-01-2000,132.278519,132.278519,125,132.110931,-2.332741,12100608
05-01-2000,131.257813,131.257813,121.542191,121.542191,-2.146124,15264256
06-01-2000,119.53125,120.3125,111.819138,111.819138,-1.97444,9052800
07-01-2000,102.875,102.875,102.873825,102.873825,-1.816489,696832
10-01-2000,103.515625,110.9375,94.644142,107.03125,-1.889898,36716160
11-01-2000,109.296875,109.296875,98.469139,98.469139,-1.738713,31226496
12-01-2000,93.75,104.21875,90.632813,101.570313,-1.793472,21319296
13-01-2000,101.171875,103.125,93.444923,93.953514,-1.658979,12755456
14-01-2000,93.453125,96.195313,87.59375,94.382813,-1.666559,18301568
17-01-2000,101.171875,101.546875,91.804688,92.576172,-1.634658,14982912
18-01-2000,92.1875,96.078125,89.0625,95.625,-1.688493,16369792
19-01-2000,96.085938,103.046875,96.085938,101.556641,-1.793231,22184448
20-01-2000,101.953125,105.453125,98.359375,98.690231,-1.742617,17599232
21-01-2000,98.085938,106.25,97.398438,105.738281,-1.867068,23618688
24-01-2000,114.046875,114.196877,109.765625,111.71875,-1.972668,17801280
25-01-2000,111.71875,113.28125,107.971878,112.8125,-1.99198,11948480
26-01-2000,null,null,null,null,null,null
27-01-2000,112.5,116.78125,112.5,114.1875,-2.016259,12049344
28-01-2000,115.21875,118.75,115.21875,117.96875,-2.083026,17169088
31-01-2000,115.609375,117.1875,110.953125,112.578125,-1.987842,6149312
01-02-2000,112.5,115.381248,111.109375,115.09375,-2.032262,4218560
02-02-2000,115.390625,117.183594,113.90625,114.6875,-2.025089,5298048
03-02-2000,114.8125,116.984375,114.8125,116.40625,-2.055437,5561792
04-02-2000,116.796875,124.21875,116.796875,122.5625,-2.16414,17085504
07-02-2000,128.125,132.367188,127.578125,132.367188,-2.337266,14592768
08-02-2000,140.625,142.421875,136.703125,138.75,-2.44997,12566528
09-02-2000,139.0625,142.1875,133.988281,135.609375,-2.394515,9785792
10-02-2000,135.921875,144.90625,135.921875,144.140625,-2.545155,13268480
11-02-2000,144.53125,155.671097,144.53125,155.671097,-2.748754,4043264
14-02-2000,168.124222,168.124222,168.124222,168.124222,-2.968644,2210880
15-02-2000,168.124222,168.124222,154.675003,155.9375,-2.753458,25090240
16-02-2000,154.6875,160.15625,147.65625,155.461716,-2.745057,7859520
17-02-2000,156.234375,165.625,156.234375,160.417191,-2.832558,9680960
18-02-2000,162.8125,165.609375,152.734375,153.75,-2.714832,10114624
21-02-2000,155.46875,165.625,153.140625,160.546875,-2.834848,15096000
22-02-2000,162.328125,164.046875,155.9375,156.09375,-2.756217,8775744
23-02-2000,157.03125,159.0625,143.607025,143.607025,-2.535733,8409216
24-02-2000,144.1875,149.984375,139.921875,148.351563,-2.61951,7132992
25-02-2000,146.875,146.875,136.483597,136.499222,-2.410228,10261312
28-02-2000,135.9375,138.90625,125.579689,133.59375,-2.358924,10146432
29-02-2000,134.765625,144.280472,131.25,136.009369,-2.401578,22618432
01-03-2000,137.5,146.889847,137.5,146.889847,-2.593699,5817920
02-03-2000,156.234375,158.640625,154.6875,158.640625,-2.801189,1049984
03-03-2000,170.3125,171.331253,170.3125,171.331253,-3.025272,1578560
06-03-2000,185.034378,185.037506,184.359375,185.037506,-3.26729,387840
07-03-2000,199.839844,199.839844,199.839844,199.839844,-3.528661,875520
08-03-2000,215.826569,215.826569,187.5,193.568756,-3.41793,22985472
09-03-2000,196.859375,202.34375,182.03125,183.092194,-3.23294,7017344
10-03-2000,187.484375,197.739059,179.53125,182.8125,-3.228002,12865472
13-03-2000,187.46875,192.109375,168.188278,168.188278,-2.969775,7048640
14-03-2000,154.733597,158.90625,154.733597,154.733597,-2.7322,7966336
15-03-2000,142.359375,158.140625,142.355469,151.676559,-2.67822,11929536
16-03-2000,150,150,139.542969,139.542969,-2.463972,8458112
17-03-2000,null,null,null,null,null,null
20-03-2000,null,null,null,null,null,null
21-03-2000,146.09375,150.706253,144.53125,150.706253,-2.661087,6228224
22-03-2000,156.234375,162.762497,155.484375,162.762497,-2.873969,3500416
23-03-2000,174.984375,175.782806,157.96875,159.53125,-2.816915,10186944
24-03-2000,158.609375,172.292969,151.5625,166.767975,-2.944697,11494016
27-03-2000,171.09375,173.046875,161.265625,163.150787,-2.880826,9547008
28-03-2000,161.71875,161.71875,151.742966,156.987503,-2.771998,8990912
29-03-2000,157.03125,164.84375,157.03125,161.610931,-2.853636,6596224
30-03-2000,158.610153,158.610153,148.682816,151.1875,-2.669585,5854784
31-03-2000,150.015625,150.015625,139.092972,139.092972,-2.456027,6547584
03-04-2000,132.015625,137.5,127.965622,127.965622,-2.259546,7738816
04-04-2000,117.728905,117.728905,117.728905,117.728905,-2.078792,5910720
05-04-2000,117.728905,127.146873,108.625,122.039063,-2.154898,27891328
06-04-2000,122.5625,131.801559,114.242966,131.801559,-2.327279,31067776
07-04-2000,142.345306,142.345306,142.345306,142.345306,-2.513454,597504
10-04-2000,153.732025,153.732025,153.732025,153.732025,-2.714514,856256
11-04-2000,159.375,166.029694,155.15625,166.029694,-2.931661,21266048
12-04-2000,165.53125,165.546875,155.859375,157.306244,-2.777626,14239360
13-04-2000,155.492188,155.492188,144.721878,144.721878,-2.555418,5025664
14-04-2000,null,null,null,null,null,null
17-04-2000,133.144531,133.144531,133.144531,133.144531,-2.350992,215680
18-04-2000,133.144531,138.671875,122.493752,122.773438,-2.167866,22896448
19-04-2000,124.84375,131.09375,112.952347,112.952347,-1.99445,20941760
20-04-2000,111.328125,121.875,103.922653,118.065628,-2.084738,33740352
21-04-2000,null,null,null,null,null,null
24-04-2000,122.5,124.21875,112.515625,113.570313,-2.005361,15420864
